id,s_qq_first,qq_len,wechat_is_phone,alipay_is_phone,wechat_is_email,alipay_is_email,has_first_tel,has_second_tel,has_third_tel,baidu_phone_title_times,baidu_phone_content_times,baidu_phone_page_times,baidu_phone_pages_count,baidu_first_tel_title_times,baidu_first_tel_content_times,baidu_first_tel_page_times,baidu_first_tel_pages_count,baidu_second_tel_title_times,baidu_second_tel_content_times,baidu_second_tel_page_times,baidu_second_tel_pages_count,has_baidu_phone_user_mark_times,has_baidu_first_tel_user_mark_times,has_baidu_second_tel_user_mark_times,baidu_phone_title_page_times_odds,baidu_phone_content_page_times_odds,baidu_phone_title_times_page_counts_odds,baidu_phone_content_times_page_counts_odds,baidu_phone_page_times_counts_odds,baidu_first_tel_title_page_odds,baidu_first_tel_content_page_odds,baidu_first_tel_title_times_page_counts_odds,baidu_first_tel_content_times_page_counts_odds,baidu_first_tel_page_times_counts_odds,baidu_second_tel_title_page_odds,baidu_second_tel_content_page_odds,baidu_second_tel_title_times_page_counts_odds,baidu_second_tel_content_times_page_counts_odds,baidu_second_tel_page_times_counts_odds
106463,c_5,c_9.0,1,1,0,0,1,1,0,0,4,4,2,1.0,7.0,8.0,3.0,1.0,8.0,9.0,2.0,1,0,0,0.0,1.0,0.0,2.0,2.0,0.125,0.875,0.3333333333333333,2.3333333333333335,2.6666666666666665,0.1111111111111111,0.8888888888888888,0.5,4.0,4.5
106466,c_6,c_9.0,0,0,0,1,1,1,0,1,7,8,2,1.0,7.0,8.0,2.0,1.0,8.0,9.0,2.0,0,0,0,0.125,0.875,0.5,3.5,4.0,0.125,0.875,0.5,3.5,4.0,0.1111111111111111,0.8888888888888888,0.5,4.0,4.5
106472,c_2,c_10.0,0,1,0,0,1,1,0,1,1,2,1,1.0,4.0,5.0,2.0,0.0,7.0,7.0,2.0,0,0,0,0.5,0.5,1.0,1.0,2.0,0.2,0.8,0.5,2.0,2.5,0.0,1.0,0.0,3.5,3.5
106480,c_9,c_9.0,1,1,0,0,1,1,0,1,8,9,3,1.0,9.0,10.0,2.0,1.0,6.0,7.0,5.0,0,0,0,0.1111111111111111,0.8888888888888888,0.3333333333333333,2.6666666666666665,3.0,0.1,0.9,0.5,4.5,5.0,0.14285714285714285,0.8571428571428571,0.2,1.2,1.4
106483,c_4,c_9.0,1,0,0,1,1,1,0,1,7,8,3,0.0,8.0,8.0,4.0,1.0,6.0,7.0,2.0,0,0,0,0.125,0.875,0.3333333333333333,2.3333333333333335,2.6666666666666665,0.0,1.0,0.0,2.0,2.0,0.14285714285714285,0.8571428571428571,0.5,3.0,3.5
106484,c_2,c_10.0,1,1,0,0,1,1,0,1,5,6,3,1.0,6.0,7.0,2.0,1.0,7.0,8.0,2.0,0,0,0,0.16666666666666666,0.8333333333333334,0.3333333333333333,1.6666666666666667,2.0,0.14285714285714285,0.8571428571428571,0.5,3.0,3.5,0.125,0.875,0.5,3.5,4.0
106490,c_3,c_9.0,1,1,0,0,1,1,0,1,7,8,4,1.0,2.0,3.0,3.0,1.0,5.0,6.0,2.0,0,0,0,0.125,0.875,0.25,1.75,2.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.16666666666666666,0.8333333333333334,0.5,2.5,3.0
106491,c_5,c_9.0,1,1,0,0,1,1,0,1,7,8,2,1.0,9.0,10.0,2.0,1.0,2.0,3.0,2.0,0,0,0,0.125,0.875,0.5,3.5,4.0,0.1,0.9,0.5,4.5,5.0,0.3333333333333333,0.6666666666666666,0.5,1.0,1.5
106496,c_5,c_7.0,0,0,0,1,1,1,0,1,1,2,1,1.0,9.0,10.0,3.0,1.0,8.0,9.0,2.0,0,0,0,0.5,0.5,1.0,1.0,2.0,0.1,0.9,0.3333333333333333,3.0,3.3333333333333335,0.1111111111111111,0.8888888888888888,0.5,4.0,4.5
106502,c_8,c_9.0,0,0,0,1,1,1,0,1,7,8,3,1.0,8.0,9.0,3.0,7.0,12.0,19.0,2.0,0,0,0,0.125,0.875,0.3333333333333333,2.3333333333333335,2.6666666666666665,0.1111111111111111,0.8888888888888888,0.3333333333333333,2.6666666666666665,3.0,0.3684210526315789,0.631578947368421,3.5,6.0,9.5
